location,iso_code,date,total_cases,new_cases,total_deaths,new_deaths,total_vaccinations,population
CountryA,COU,2021-06-14,300473,2288,6507,49,29193,157490943
CountryA,COU,2021-06-15,302779,2306,6557,49,29371,47283827
CountryA,COU,2021-06-16,305103,2324,6607,50,29549,41999226
CountryA,COU,2021-06-17,307445,2341,6658,50,29727,67918049
CountryA,COU,2021-06-18,309805,2359,6709,51,29905,40959362
CountryA,COU,2021-06-19,312183,2377,6761,51,30083,156137407
CountryA,COU,2021-06-20,314579,2396,6813,51,30261,22060908
CountryA,COU,2021-06-21,316994,2414,6865,52,30439,103106695
CountryA,COU,2021-06-22,319427,2433,6918,52,30617,21260405
CountryA,COU,2021-06-23,321879,2451,6971,53,30795,127272405
CountryA,COU,2021-06-24,324349,2470,7024,53,30973,199493175
CountryA,COU,2021-06-25,326839,2489,7078,53,31151,32060203
CountryA,COU,2021-06-26,329348,2508,7133,54,31329,77251418
CountryA,COU,2021-06-27,331875,2527,7187,54,31507,36597427
CountryA,COU,2021-06-28,334423,2547,7242,55,31685,85882127
CountryA,COU,2021-06-29,336990,2566,7298,55,31863,183954088
CountryA,COU,2021-06-30,339576,2586,7354,56,32041,100090139
CountryA,COU,2021-07-01,342183,2606,7411,56,32219,179400178
CountryA,COU,2021-07-02,344809,2626,7467,56,32397,15431416
CountryA,COU,2021-07-03,347456,2646,7525,57,32575,104389753
CountryA,COU,2021-07-04,350123,2666,7583,57,32753,40761866
CountryA,COU,2021-07-05,352810,2687,7641,58,32931,172706316
CountryA,COU,2021-07-06,355518,2708,7699,58,33109,180662307
CountryA,COU,2021-07-07,358247,2728,7758,59,33287,46867469
CountryA,COU,2021-07-08,360997,2749,7818,59,33465,131279156
CountryA,COU,2021-07-09,363768,2770,7878,60,33643,109240452
CountryA,COU,2021-07-10,366560,2792,7938,60,33821,159944966
CountryA,COU,2021-07-11,369373,2813,7999,60,33999,109168880
CountryA,COU,2021-07-12,372209,2835,8061,61,34177,72204066
CountryA,COU,2021-07-13,375066,2856,8123,61,34355,42327420
CountryA,COU,2021-07-14,377944,2878,8185,62,34533,127027902
CountryA,COU,2021-07-15,380845,2900,8248,62,34711,150659681
CountryA,COU,2021-07-16,383769,2923,8311,63,34889,153199386
CountryA,COU,2021-07-17,386714,2945,8375,63,35067,85449496
CountryA,COU,2021-07-18,389682,2968,8439,64,35245,110607510
CountryA,COU,2021-07-19,392674,2991,8504,64,35424,175383848
CountryB,COU,2021-01-01,75588,75588,1705,1705,0,117327018
CountryB,COU,2021-01-02,76827,1239,1733,27,111,162305708
CountryB,COU,2021-01-03,78087,1259,1761,28,222,124890269
CountryB,COU,2021-01-04,79367,1280,1790,28,334,191407496
CountryB,COU,2021-01-05,80669,1301,1819,29,445,29430325
CountryB,COU,2021-01-06,81992,1322,1849,29,557,94378489
CountryB,COU,2021-01-07,83336,1344,1880,30,668,100897961
CountryB,COU,2021-01-08,84703,1366,1910,30,779,100480834
CountryB,COU,2021-01-09,86092,1388,1942,31,891,77850495
CountryB,COU,2021-01-10,87503,1411,1974,31,1002,43784034
CountryB,COU,2021-01-11,88938,1434,2006,32,1114,2942202
CountryB,COU,2021-01-12,90397,1458,2039,32,1225,71403021
CountryB,COU,2021-01-13,91879,1482,2072,33,1336,145507027
CountryB,COU,2021-01-14,93385,1506,2106,33,1448,156383830
CountryB,COU,2021-01-15,94917,1531,2141,34,1559,144129373
CountryB,COU,2021-01-16,96473,1556,2176,35,1671,42906887
CountryB,COU,2021-01-17,98055,1581,2212,35,1782,27891904
CountryB,COU,2021-01-18,99663,1607,2248,36,1894,140447221
CountryB,COU,2021-01-19,101297,1634,2285,36,2005,138091588
CountryB,COU,2021-01-20,102958,1661,2322,37,2116,41152719
CountryB,COU,2021-01-21,104647,1688,2360,38,2228,95689517
CountryB,COU,2021-01-22,106363,1715,2399,38,2339,88716119
CountryB,COU,2021-01-23,108107,1744,2438,39,2451,26291358
CountryB,COU,2021-01-24,109880,1772,2478,39,2562,142513022
CountryB,COU,2021-01-25,111681,1801,2519,40,2673,117886524
CountryB,COU,2021-01-26,113513,1831,2560,41,2785,183196961
CountryB,COU,2021-01-27,115374,1861,2602,41,2896,5506628
CountryB,COU,2021-01-28,117266,1891,2645,42,3008,86701266
CountryB,COU,2021-01-29,119189,1922,2688,43,3119,198932680
CountryB,COU,2021-01-30,121143,1954,2733,44,3230,48871967
CountryB,COU,2021-01-31,123130,1986,2777,44,3342,135175841
CountryB,COU,2021-02-01,125149,2019,2823,45,3453,1207651
CountryB,COU,2021-02-02,127201,2052,2869,46,3565,24794142
CountryB,COU,2021-02-03,129287,2085,2916,47,3676,197623325
CountryB,COU,2021-02-04,131407,2120,2964,47,3788,100893026
CountryB,COU,2021-02-05,133562,2154,3013,48,3899,97629347
CountryB,COU,2021-02-06,135752,2190,3062,49,4010,151885093
CountryB,COU,2021-02-07,137978,2226,3112,50,4122,60894695
CountryB,COU,2021-02-08,140241,2262,3163,51,4233,82860499
CountryB,COU,2021-02-09,142540,2299,3215,51,4345,110922524
CountryB,COU,2021-02-10,144878,2337,3268,52,4456,173145577
CountryB,COU,2021-02-11,147253,2375,3322,53,4567,27611518
CountryB,COU,2021-02-12,149668,2414,3376,54,4679,132725655
CountryB,COU,2021-02-13,152122,2454,3431,55,4790,159053821
CountryB,COU,2021-02-14,154617,2494,3488,56,4902,14356518
CountryB,COU,2021-02-15,157152,2535,3545,57,5013,82895065
CountryB,COU,2021-02-16,159729,2576,3603,58,5124,185180239
CountryB,COU,2021-02-17,162348,2619,3662,59,5236,83442809
CountryB,COU,2021-02-18,165010,2662,3722,60,5347,96486712
CountryB,COU,2021-02-19,167716,2705,3783,61,5459,137538241
CountryB,COU,2021-02-20,170466,2750,3845,62,5570,57397329
CountryB,COU,2021-02-21,173262,2795,3908,63,5682,197951072
CountryB,COU,2021-02-22,176103,2841,3972,64,5793,160618013
CountryB,COU,2021-02-23,178991,2887,4038,65,5904,10296341
CountryB,COU,2021-02-24,181926,2935,4104,66,6016,162864802
CountryB,COU,2021-02-25,184909,2983,4171,67,6127,62142636
CountryB,COU,2021-02-26,187941,3032,4240,68,6239,192999271
CountryB,COU,2021-02-27,191023,3081,4309,69,6350,44444973
CountryB,COU,2021-02-28,194155,3132,4380,70,6461,11309355
CountryB,COU,2021-03-01,197339,3183,4452,71,6573,142426826
CountryB,COU,2021-03-02,200575,3235,4525,73,6684,85848635
CountryB,COU,2021-03-03,203864,3289,4599,74,6796,25095045
CountryB,COU,2021-03-04,207207,3342,4674,75,6907,11114504
CountryB,COU,2021-03-05,210605,3397,4751,76,7018,31195337
CountryB,COU,2021-03-06,214058,3453,4829,77,7130,140007942
CountryB,COU,2021-03-07,217568,3510,4908,79,7241,101928151
CountryB,COU,2021-03-08,221136,3567,4988,80,7353,191805800
CountryB,COU,2021-03-09,224762,3626,5070,81,7464,42276816
CountryB,COU,2021-03-10,228448,3685,5153,83,7576,154867739
CountryB,COU,2021-03-11,232194,3746,5238,84,7687,114029188
CountryB,COU,2021-03-12,236001,3807,5324,85,7798,141463700
CountryB,COU,2021-03-13,239871,3869,5411,87,7910,24158054
CountryB,COU,2021-03-14,243804,3933,5500,88,8021,124342539
CountryB,COU,2021-03-15,247802,3997,5590,90,8133,169116691
CountryB,COU,2021-03-16,251866,4063,5682,91,8244,180175656
CountryB,COU,2021-03-17,255996,4130,5775,93,8355,21009392
CountryB,COU,2021-03-18,260194,4197,5870,94,8467,196172897
CountryB,COU,2021-03-19,264460,4266,5966,96,8578,119776573
CountryB,COU,2021-03-20,268797,4336,6064,97,8690,58597819
CountryB,COU,2021-03-21,273205,4407,6163,99,8801,161416266
CountryB,COU,2021-03-22,277685,4479,6264,101,8912,139285862
CountryB,COU,2021-03-23,282238,4553,6367,102,9024,153013569
CountryB,COU,2021-03-24,286866,4628,6471,104,9135,19739813
CountryB,COU,2021-03-25,291570,4704,6577,106,9247,81026130
CountryB,COU,2021-03-26,296351,4781,6685,107,9358,56911146
CountryB,COU,2021-03-27,301211,4859,6795,109,9470,174647374
CountryB,COU,2021-03-28,306150,4939,6906,111,9581,11942895
CountryB,COU,2021-03-29,311170,5020,7020,113,9692,62846631
CountryB,COU,2021-03-30,316273,5102,7135,115,9804,29414425
CountryB,COU,2021-03-31,321459,5186,7252,117,9915,50516113
CountryB,COU,2021-04-01,326730,5271,7371,118,10027,8767223
CountryB,COU,2021-04-02,332088,5357,7492,120,10138,17870519
CountryB,COU,2021-04-03,337533,5445,7614,122,10249,77700541
CountryB,COU,2021-04-04,343068,5534,7739,124,10361,178771009
CountryB,COU,2021-04-05,348694,5625,7866,126,10472,197847684
CountryB,COU,2021-04-06,354412,5717,7995,128,10584,50577459
CountryB,COU,2021-04-07,360223,5811,8126,131,10695,194060243
CountryB,COU,2021-04-08,366130,5906,8260,133,10806,127478988
CountryB,COU,2021-04-09,372134,6003,8395,135,10918,22558675
CountryB,COU,2021-04-10,378236,6102,8533,137,11029,58103274
CountryB,COU,2021-04-11,384438,6202,8673,139,11141,10345722
CountryB,COU,2021-04-12,390742,6303,8815,142,11252,95935553
CountryB,COU,2021-04-13,397150,6407,8959,144,11364,155581071
CountryB,COU,2021-04-14,403662,6512,9106,146,11475,85951517
CountryB,COU,2021-04-15,410281,6619,9256,149,11586,17712433
CountryB,COU,2021-04-16,417009,6727,9407,151,11698,33718235
CountryB,COU,2021-04-17,423847,6838,9562,154,11809,47764867
CountryB,COU,2021-04-18,430797,6950,9718,156,11921,155704511
CountryB,COU,2021-04-19,437862,7064,9878,159,12032,36401650
CountryB,COU,2021-04-20,445042,7180,10040,161,12143,35566929
CountryB,COU,2021-04-21,452339,7297,10204,164,12255,30054750
CountryB,COU,2021-04-22,459757,7417,10372,167,12366,13398467
CountryB,COU,2021-04-23,467296,7539,10542,170,12478,109409923
CountryB,COU,2021-04-24,474958,7662,10715,172,12589,43632199
CountryB,COU,2021-04-25,482747,7788,10890,175,12700,37732829
CountryB,COU,2021-04-26,490663,7916,11069,178,12812,15791486
CountryB,COU,2021-04-27,498709,8045,11251,181,12923,125536131
CountryB,COU,2021-04-28,506886,8177,11435,184,13035,34384548
CountryB,COU,2021-04-29,515198,8311,11623,187,13146,83838123
CountryB,COU,2021-04-30,523646,8448,11813,190,13258,65634141
CountryB,COU,2021-05-01,532233,8586,12007,193,13369,86866909
CountryB,COU,2021-05-02,540961,8727,12204,196,13480,61475765
CountryB,COU,2021-05-03,549831,8870,12404,200,13592,164005013
CountryB,COU,2021-05-04,558847,9016,12607,203,13703,163311817
CountryB,COU,2021-05-05,568011,9163,12814,206,13815,83155134
CountryB,COU,2021-05-06,577325,9314,13024,210,13926,25103675
CountryB,COU,2021-05-07,586792,9466,13238,213,14037,17525776
CountryB,COU,2021-05-08,596414,9622,13455,217,14149,3432022
CountryB,COU,2021-05-09,606194,9779,13675,220,14260,71816855
CountryB,COU,2021-05-10,616135,9940,13900,224,14372,63805579
CountryB,COU,2021-05-11,626238,10103,14128,227,14483,46365042
CountryB,COU,2021-05-12,636507,10268,14359,231,14594,51273225
CountryB,COU,2021-05-13,646944,10437,14595,235,14706,113939616
CountryB,COU,2021-05-14,657553,10608,14834,239,14817,10896747
CountryB,COU,2021-05-15,668335,10782,15077,243,14929,26227743
CountryB,COU,2021-05-16,679295,10959,15325,247,15040,158969385
CountryB,COU,2021-05-17,690434,11138,15576,251,15152,145718613
CountryB,COU,2021-05-18,701755,11321,15831,255,15263,184614019
CountryB,COU,2021-05-19,713263,11507,16091,259,15374,104470864
CountryB,COU,2021-05-20,724959,11695,16355,263,15486,113648858
CountryB,COU,2021-05-21,736846,11887,16623,268,15597,181700631
CountryB,COU,2021-05-22,748929,12082,16896,272,15709,183261819
CountryB,COU,2021-05-23,761210,12280,17173,277,15820,91906402
CountryB,COU,2021-05-24,773692,12482,17454,281,15931,135905166
CountryB,COU,2021-05-25,786379,12686,17741,286,16043,198271308
CountryB,COU,2021-05-26,799274,12894,18031,290,16154,13090015
CountryB,COU,2021-05-27,812380,13106,18327,295,16266,190451476
CountryB,COU,2021-05-28,825702,13321,18628,300,16377,121930626
CountryB,COU,2021-05-29,839241,13539,18933,305,16488,71510042
CountryB,COU,2021-05-30,853003,13761,19244,310,16600,176548348
CountryB,COU,2021-05-31,866991,13987,19559,315,16711,156568443
CountryB,COU,2021-06-01,881208,14216,19880,320,16823,195101116
CountryB,COU,2021-06-02,895657,14449,20206,325,16934,164251048
CountryB,COU,2021-06-03,910344,14686,20537,331,17046,94710425
CountryB,COU,2021-06-04,925272,14927,20874,336,17157,81078947
CountryB,COU,2021-06-05,940445,15172,21216,342,17268,12021854
CountryB,COU,2021-06-06,955866,15421,21564,347,17380,53364389
CountryB,COU,2021-06-07,971540,15674,21918,353,17491,9423565
CountryB,COU,2021-06-08,987471,15931,22277,359,17603,61012832
CountryB,COU,2021-06-09,1003664,16192,22643,365,17714,170502734
CountryB,COU,2021-06-10,1020122,16457,23014,371,17825,55100507
CountryB,COU,2021-06-11,1036849,16727,23391,377,17937,61485273
CountryB,COU,2021-06-12,1053852,17002,23775,383,18048,51703498
CountryB,COU,2021-06-13,1071132,17280,24165,389,18160,89458993
CountryB,COU,2021-06-14,1088697,17564,24561,396,18271,43969538
CountryB,COU,2021-06-15,1106549,17852,24964,402,18382,4885996
CountryB,COU,2021-06-16,1124694,18145,25373,409,18494,66131442
CountryB,COU,2021-06-17,1143137,18442,25789,416,18605,133680495
CountryB,COU,2021-06-18,1161882,18745,26212,422,18717,17342550
CountryB,COU,2021-06-19,1180934,19052,26642,429,18828,146101816
CountryB,COU,2021-06-20,1200299,19364,27079,436,18940,59487175
CountryB,COU,2021-06-21,1219981,19682,27523,444,19051,145778507
CountryB,COU,2021-06-22,1239986,20005,27974,451,19162,77610860
CountryB,COU,2021-06-23,1260320,20333,28433,458,19274,35490317
CountryB,COU,2021-06-24,1280986,20666,28899,466,19385,115199257
CountryB,COU,2021-06-25,1301992,21005,29373,473,19497,156595198
CountryB,COU,2021-06-26,1323341,21349,29855,481,19608,122325800
CountryB,COU,2021-06-27,1345041,21699,30344,489,19719,19840486
CountryB,COU,2021-06-28,1367097,22055,30842,497,19831,156985766
CountryB,COU,2021-06-29,1389515,22417,31347,505,19942,139376558
CountryB,COU,2021-06-30,1412300,22785,31862,514,20054,147675858
CountryB,COU,2021-07-01,1435459,23158,32384,522,20165,161009640
CountryB,COU,2021-07-02,1458997,23538,32915,531,20276,128961727
CountryB,COU,2021-07-03,1482921,23924,33455,539,20388,17212186
CountryB,COU,2021-07-04,1507238,24316,34003,548,20499,77572956
CountryB,COU,2021-07-05,1531954,24715,34561,557,20611,48586016
CountryB,COU,2021-07-06,1557075,25120,35128,566,20722,24352461
CountryB,COU,2021-07-07,1582607,25532,35704,576,20834,5811774
CountryB,COU,2021-07-08,1608559,25951,36289,585,20945,177628952
CountryB,COU,2021-07-09,1634936,26376,36884,595,21056,23290032
CountryB,COU,2021-07-10,1661745,26809,37489,604,21168,147754850
CountryB,COU,2021-07-11,1688994,27249,38104,614,21279,185163872
CountryB,COU,2021-07-12,1716690,27695,38729,624,21391,161349135
CountryB,COU,2021-07-13,1744840,28150,39364,635,21502,136128185
CountryB,COU,2021-07-14,1773452,28611,40009,645,21613,71618274
CountryB,COU,2021-07-15,1802533,29080,40665,656,21725,87897268
CountryB,COU,2021-07-16,1832090,29557,41332,666,21836,2716250
CountryB,COU,2021-07-17,1862133,30042,42010,677,21948,196765383
CountryB,COU,2021-07-18,1892668,30535,42699,688,22059,77796429
CountryB,COU,2021-07-19,1923703,31035,43399,700,22171,103315045
CountryC,COU,2021-01-01,67755,67755,1254,1254,0,36247926
CountryC,COU,2021-01-02,70936,3181,1313,58,7,142810662
CountryC,COU,2021-01-03,74268,3331,1375,61,14,119300548
CountryC,COU,2021-01-04,77755,3487,1439,64,22,177009390
CountryC,COU,2021-01-05,81407,3651,1507,67,29,155751709
CountryC,COU,2021-01-06,85230,3822,1577,70,36,16893104
CountryC,COU,2021-01-07,89232,4002,1652,74,44,5274763
CountryC,COU,2021-01-08,93423,4190,1729,77,51,17920034
CountryC,COU,2021-01-09,97810,4387,1810,81,58,38902849
CountryC,COU,2021-01-10,102403,4593,1895,85,66,173220719
CountryC,COU,2021-01-11,107212,4808,1984,89,73,90912535
CountryC,COU,2021-01-12,112247,5034,2078,93,80,111144831
CountryC,COU,2021-01-13,117518,5271,2175,97,88,28177783
CountryC,COU,2021-01-14,123037,5518,2277,102,95,36436577
CountryC,COU,2021-01-15,128815,5777,2384,106,102,156755893
CountryC,COU,2021-01-16,134864,6049,2496,111,110,75399130
CountryC,COU,2021-01-17,141197,6333,2614,117,117,133160320
CountryC,COU,2021-01-18,147828,6630,2736,122,125,169255139
CountryC,COU,2021-01-19,154770,6942,2865,128,132,111609672
CountryC,COU,2021-01-20,162038,7268,3000,134,139,165424611
CountryC,COU,2021-01-21,169648,7609,3140,140,147,32157132
CountryC,COU,2021-01-22,177615,7966,3288,147,154,86774057
CountryC,COU,2021-01-23,185955,8340,3442,154,161,136459532
